Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.353956345259025
100,0.3537312450369574
200,0.007561147744207143
300,0.004462341926957191
400,0.0034672512355433715
500,0.0029332047137717674
600,0.002587854018639498
700,0.0023412102027562864
800,0.0021537699801241384
900,0.0020051154609491387
1000,0.0018834934636975955
1100,0.001781598249635944
1200,0.001694618615857987
1300,0.0016192400467572373
1400,0.001553094937768419
1500,0.0014944410323833516
1600,0.0014419639652775262
1700,0.001394651013321568
1800,0.0013517075725643926
1900,0.0013125002627777831
2000,0.0012765171766824328
2100,0.0012433394853481397
2200,0.001212620754971631
2300,0.001184071616506612
2400,0.0011574482245508212
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9986462551945979,yes
0.0,0.0017484204572721278,yes
0.0,0.0019223559771618436,yes
1.0,0.9986462551945979,yes
1.0,0.9986324647775188,yes
0.0,0.0017484204572721278,yes
1.0,0.9986324647775188,yes
0.0,0.0019223559771618436,yes
1.0,0.9986462551945979,yes
1.0,0.9986462551945979,yes
0.0,0.0019223559771618436,yes
0.0,0.0017484204572721278,yes
0.0,0.0019223559771618436,yes
1.0,0.9986462551945979,yes
1.0,0.9986324647775188,yes
1.0,0.9986324647775188,yes
1.0,0.9986462551945979,yes
0.0,0.0017484204572721278,yes
0.0,0.0017484204572721278,yes
1.0,0.9986324647775188,yes
1.0,0.9986462551945979,yes
0.0,0.0019223559771618436,yes
1.0,0.9986324647775188,yes
0.0,0.0017484204572721278,yes
1.0,0.9986462551945979,yes
0.0,0.0019223559771618436,yes
1.0,0.9986324647775188,yes
0.0,0.0017484204572721278,yes
0.0,0.0019223559771618436,yes
1.0,0.9986462551945979,yes
0.0,0.0017484204572721278,yes
0.0,0.0017484204572721278,yes
1.0,0.9986462551945979,yes
1.0,0.9986462551945979,yes
1.0,0.9986462551945979,yes
0.0,0.0019223559771618436,yes
0.0,0.0019223559771618436,yes
1.0,0.9986462551945979,yes
0.0,0.0017484204572721278,yes
0.0,0.0017484204572721278,yes
1.0,0.9986324647775188,yes
0.0,0.0017484204572721278,yes
1.0,0.9986462551945979,yes
1.0,0.9986462551945979,yes
0.0,0.0017484204572721278,yes
1.0,0.9986324647775188,yes
0.0,0.0017484204572721278,yes
1.0,0.9986324647775188,yes
0.0,0.0019223559771618436,yes
1.0,0.9986324647775188,yes
Accuracy percentage: ,100.0%
