Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.09235366431595468,0.9156021823055681,15
1,0.5409444624070741,0.922532081249974,11
2,0.6752475562771143,0.9173655476810066,11
3,0.7694081386214606,0.9904946250280366,10
4,0.6752413126451319,0.9904946250280366,10
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07091383689390887,0.6759451568363803,11
1,0.401101236701474,0.8401697442858908,14
2,0.44800890072635013,0.8401697442858908,14
3,0.5555168690934127,0.8401697442858908,12
4,0.580546897243219,0.9459437788984716,16
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.12805539291932133,0.767666731360123,8
1,0.41934422712690567,0.7705883928967341,9
2,0.4774326836434524,0.8979970559363347,11
3,0.6249667659049707,0.9036310347202655,10
4,0.5004270094086503,0.8227399313341685,13
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07026825416496535,0.581900786367063,13
1,0.299140940802851,0.9863799054861597,13
2,0.4413640822151203,0.9960682986682187,13
3,0.46686823187091503,0.9827499032998194,10
4,0.5595581825138218,0.9875768682505047,14
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.02253089524950962,0.1840724971838821,13
1,0.12926702760754136,0.5275630545278603,9
2,0.18502598251066457,0.7321434076206721,5
3,0.27602696976596813,0.7321434076206721,12
4,0.33603616650658574,0.8793455987326677,6
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.10319566696580965,0.8263875774210202,10
1,0.34340126984626024,0.8265161107827294,7
2,0.3317382429644916,0.9259435094995335,11
3,0.5186456643230966,0.9636721000635295,13
4,0.6354876772066224,0.9304382379834729,12
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.09654744426410734,0.9992754438697098,12
1,0.5750464904478864,0.9993516906797778,16
2,0.7458129088707779,0.9993516906797778,14
3,0.7650036709831938,0.9993516906797778,14
4,0.7929994608877827,0.9993516906797778,13
Run # 7
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07982676395325454,0.6415571496783329,9
1,0.4686329457909242,0.903221961094283,12
2,0.5134587454201673,0.9046849490459611,13
3,0.5684079984647625,0.9800680753216028,12
4,0.6409785207113928,0.9779909192897385,11
Run # 8
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.0645469833359631,0.8307193935132388,12
1,0.3852371939072713,0.9724897930435904,11
2,0.5317910014685224,0.9730851757640203,9
3,0.7336838917434465,0.9938752836413232,10
4,0.7572780033580588,0.9937519964677187,11
Run # 9
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.029369102448119844,0.33991043805335647,8
1,0.20211698318797297,0.4813944801161912,12
2,0.3191507890063972,0.6663998311034451,7
3,0.3212960788994249,0.9182395439636767,13
4,0.522588193125742,0.9320392993175327,12
